time,Vavg,Vrms
2020-05-06 17:44:30,-4.497827860869566,-4.995830665457684
2020-05-06 17:44:35,1.0559340582474233,1.1728478528019497
2020-05-06 17:44:40,-1.0513719856382977,-1.1677806641625188
2020-05-06 17:44:45,1.0273724752688165,1.1411239103763382
2020-05-06 17:44:50,-0.9827031228723405,-1.0915087344711165
2020-05-06 17:44:55,1.0126108369565214,1.124727852627098
2020-05-06 17:45:00,-1.0943204260869566,-1.2154843874849832
2020-05-06 17:45:05,1.0340897384615384,1.148584913883854
2020-05-06 17:45:10,-1.0381225733695651,-1.1530642672351743
2020-05-06 17:45:15,1.0470920213483144,1.1630268190825455
2020-05-06 17:45:20,-0.9947772505747136,-1.104919718461621
2020-05-06 17:45:25,0.9572255835227271,1.0632103032504525
2020-05-06 17:45:30,-1.042019301666667,-1.1573924441516326
2020-05-06 17:45:35,1.0379510693181815,1.152873774129245
2020-05-06 17:45:40,-1.0266757568181821,-1.1403500507470823
2020-05-06 17:45:45,1.0088903068181816,1.1205953826589645
2020-05-06 17:45:50,-1.0319430579545459,-1.1462005513343054
2020-05-06 17:45:55,1.0793321999999999,1.1988366539962332
2020-05-06 17:46:00,-1.0347204866279072,-1.1492854989505126
2020-05-06 17:46:05,1.0554146348837208,1.1722709185018811
2020-05-06 17:46:10,-1.0453379576470587,-1.1610785441598575
2020-05-06 17:46:15,0.9990661976744187,1.109683540934607
2020-05-06 17:46:20,-0.9782832172619045,-1.0865994536648973
2020-05-06 17:46:25,1.004605071428571,1.1158356828593412
2020-05-06 17:46:30,0.021540620634921043,0.023925613974058183
